Event Name,Event Time,Status,External Url
"¿Eres ""Tester"" o ""QA""?","Apr 29, 2021 11:00 PM - Apr 30, 2021 12:00 AM",APPROVED,
¿Porqué Agile en Gestión Humana? [Webinar SIN COSTO],"Jul 29, 2021 12:00 AM - Jul 29, 2021 01:30 AM",APPROVED,https://forms.gle/4eeVELvfcmEnu4jk9
Domina la Gestión de Proyectos en la era de la Innovación,"Feb 25, 2025 08:00 PM - Feb 25, 2025 09:00 PM",RELINQUISHED,https://attendee.gotowebinar.com/register/2514231694393204565?source=Ln
El día que empezamos a hablar con las máquinas,"Feb 29, 2024 05:00 PM - Feb 29, 2024 06:00 PM",RELINQUISHED,https://www.youtube.com/watch?v=5_iMleeLZcw
How to Sell RPA by Subscription:  Growth for MSPs,"Nov 30, 2021 04:00 PM - Nov 30, 2021 05:00 PM",APPROVED,https://get.electroneek.com/webinar-how-to-sell-rpa-by-subscription/?utm_source=linkedin&utm_medium=social&utm_campaign=webinar_how_to_sell_rpa_by_subscription&utm_content=event
Test Lab,"Sep 01, 2023 02:30 PM - Sep 02, 2023 08:30 PM",APPROVED,https://www.youtube.com/@Brightest/videos
".Certificación y Curso Scrum Fundamentals Actualízate 4ta Ed, GRATUITO","Feb 24, 2025 10:00 PM - Feb 25, 2025 12:00 AM",APPROVED,https://event.webinarjam.com/channel/cursoscrumgratis
Cambio de Paradigma Organizacional 🎯 DevOps & Agile Coach,"Sep 07, 2022 04:00 PM - Sep 07, 2022 05:00 PM",APPROVED,https://meet.jit.si/CambiodeParadigmaOrganizacional
MASTER CLASS WITH MICHIGAN MASTER,"Apr 23, 2022 09:00 PM - Apr 23, 2022 10:00 PM",APPROVED,https://forms.gle/dWY3PjsZncJvUcGZ6
Curso Gratuito Fundamentos de Scrum en Vivo,"Aug 28, 2021 04:00 PM - Aug 28, 2021 07:00 PM",APPROVED,https://www.instruccionagil.com/fundamentos-de-scrum-en-vivo
💪 Big Data y Data Analytics 2x1,"Dec 03, 2020 12:00 AM - Dec 03, 2020 03:00 AM",APPROVED,https://wa.me/573228425596
Taller GRATUITO de Certificación en Excel y Power BI,"Mar 12, 2022 06:00 AM - Mar 12, 2022 02:00 PM",APPROVED,https://bit.ly/tallerexcelpowerbi
"Todos en órbita: el nuevo juego satelital entre los LEO, IoT y 5G","May 30, 2023 06:00 PM - May 30, 2023 07:00 PM",APPROVED,
¿Cómo Funciona Scrum?,"Sep 11, 2021 02:00 PM - Sep 11, 2021 10:00 PM",APPROVED,
ITIL® versión 5 : Conoce que cambia y que permanece - Webinar gratuito,"Feb 12, 2026 08:00 PM - Feb 12, 2026 09:00 PM",APPROVED,https://event.webinarjam.com/pkzm33/register/6mngxxb0
Seminario Free: Gestión efectiva de proyectos y productos,"Dec 26, 2023 07:00 PM - Dec 26, 2023 09:00 PM",RELINQUISHED,https://us02web.zoom.us/webinar/register/1217011868008/WN_zi2iwh2SRIWT-ZkwUFY6Xw
IP and innovation transfer from LatAm | IP Business Talk with Mr. Hurtado,"Jun 30, 2021 03:00 PM - Jun 30, 2021 03:45 PM",APPROVED,
Certificación Internacional en KANBAN,"Nov 28, 2020 12:30 AM - Dec 02, 2020 03:30 AM",APPROVED,https://forms.gle/YfYXvHxxV74fXK2G9
Lanzamiento del Libro Y AHORA ¿QUIÉN PODRÁ DEFENDERNOS?,"Sep 23, 2020 12:00 AM - Sep 23, 2020 01:30 AM",RELINQUISHED,https://www.alvarorojas.org/y-ahora-quien-podra-defendernos
Mobile Development para IT Recruiters,"Oct 14, 2021 10:30 PM - Oct 15, 2021 12:00 AM",APPROVED,
Webinar: Cybersecurity Audit & Risk Management.,"Apr 03, 2023 04:00 PM - Apr 04, 2023 11:00 PM",APPROVED,https://acsmb.com/training/upcoming_training?cid=133
TALLER GRATUITO DE SCRUM FUNDAMENTOS CON CERTIFICACIÓN INTERNACIONAL,"Aug 31, 2023 07:00 PM - Aug 31, 2023 10:00 PM",RELINQUISHED,https://us02web.zoom.us/webinar/register/7016909846715/WN_PNQQhifXSGOOYiB4cXlwSw
Conversaciones Productivas Sector Náutico ,"Jul 15, 2020 03:00 PM - Jul 15, 2020 04:30 PM",APPROVED,https://us02web.zoom.us/webinar/register/2815943279263/WN_JIlZ6wK7Shaw_NxCsVXfug?fbclid=IwAR3rYYJZ7ZyMjcc84ZLBz6L_8M63etHuIGa2ZUAqfET7_m4tqwI3_2SPJO4
🔴 Los nuevos retos frente a la flexibilidad laboral marca empleadora.,"Nov 03, 2022 03:00 PM - Nov 03, 2022 04:00 PM",APPROVED,
Pruebas de software y Usabilidad (InstagramLive),"May 27, 2022 12:00 AM - May 27, 2022 12:30 AM",APPROVED,https://instagram.com/hastqb?igshid=YmMyMTA2M2Y=
Master Day: Innovación y liderazgo en acción ,"Nov 16, 2024 02:00 PM - Nov 16, 2024 08:00 PM",RELINQUISHED,https://www.itservice.com.co/mastery-day-innovacion-y-liderazgo-en-accion-rrss
Nintex + IA automatizando el onboarding del personal ,"Oct 18, 2023 05:30 PM - Oct 18, 2023 06:00 PM",RELINQUISHED,https://www.nintex.com/resources/nintex-ia-automatizando-el-onboarding-del-personal/?utm_medium=referral&utm_source=partner&utm_partnerid=0019000000vGd2j
TALLER GRATUITO: Cómo usar LinkedIn para buscar trabajo,"May 27, 2021 05:00 PM - May 27, 2021 06:00 PM",APPROVED,https://www.empleatecontalento.es/talleres-gratuitos/como-usar-linkedin/
