ScoreType,Topic,Category,Range,2026-08-12,2026-07-20,2026-07-16,2026-06-15,2026-06-01,2026-05-25,2026-05-20,2026-05-08
Notability,,Academic contributions,0-5 (integer),,,,,,,,
Notability,,Event speaker,0-5 (integer),,,,,,,,
Notability,,Honors,0-5 (integer),,,,,,,,
Notability,,Institutional credibility,0-5 (integer),,,,,,,,
Notability,,Media recognition,0-5 (integer),,,,,,,,
Notability,,Notability,0-5 (integer),,,,,,,,
Notability,,Organizational influence,0-5 (integer),,,,,,,,
Notability,,Public reach,0-5 (integer),,,,,,,,
Notability,,Thought leadership,0-5 (integer),,,,,,,,
Notability,,Visibility,0-5 (integer),,,,,,,,
Notability,,Aggregated notability score,0-5 (continuous),1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
Notability,,Discrete notability tier,1-4 (integer),1,1,1,1,1,1,1,1
