Date,Link,OptionText
2026-07-29 15:36:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:7488206525208084480,Google
2026-07-28 19:20:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:7487695334262095872,Home Office
2026-07-23 13:25:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7486031471325921280,🦗 Nunca me escriben
2026-07-16 15:48:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:7483521449127976961,Todavía no pero sé que lo hará
2026-07-15 19:44:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:7482955717788823552,💰 Sueldo
2026-07-15 19:10:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7482514980895117312,Desarrollar talento 🫂🔝
2026-06-17 20:19:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:7471803704954847232,Under 20
2026-04-14 20:35:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7449496280998924288,✅ LATAM
2025-05-24 13:39:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:7331034916001918977,🧪 Visual Studio Code
2024-02-10 15:37:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:7161585926224240641,100% remoto
2023-07-27 21:19:37,https://www.linkedin.com/feed/update/urn:li:groupPost:40949-7089654441968041984,Visual Studio Code
2023-07-21 18:39:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:7088133272060194816,"Sí, en una o varias ocasiones"
2023-06-20 19:18:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7076620161675337728,Trabajo desde casa
2023-06-18 22:53:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7075579330902253569,Virtual
2023-05-27 17:52:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7067225128148848640,Sí  🌼
2023-05-23 03:15:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:7062764584226467840,OpenAI
2023-05-09 22:01:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7061792989353795584,6´500.000 - 7´900.000
2023-02-21 13:26:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:7033758328887373826,Algo importante /Poco
2023-01-26 13:37:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:7024055138319237120,Si
2022-12-06 20:03:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:7003866836832264193,By 40
2022-09-03 16:42:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6971115217258696705,Se hace
2021-11-25 00:19:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6868988318353293312,Té
2021-10-14 11:06:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6853775039528103936,15
2021-08-12 22:20:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831629676692193280,Reuniones virtuales
2021-07-09 02:27:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6818663358347264000,"CERO profesional, me molesta!"
2021-06-18 22:40:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6811263704986914816,Al que se vacunó
2020-11-14 22:56:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6732691781252587520,Si
2020-11-05 20:40:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6730215820519124992,Si en algunos contextos
2020-09-15 17:22:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6711421258774401024,Transformación Digital
