Name,Url,Authority,Started On,Finished On,License Number
Scrum Foundation Professional Certificate (SFPC) - SP/EN,https://cmkr.co/pdf/downloads/?certificate_id=37231&sid=42743464&nrg_id=257396&test_id=622110&aid=4238890&utype=SD&cert_token=da81e23f0be60e1e0fe4adb6b52d7bef&tprtoken=REK7,CertiProf,Apr 2020,,71588096532719
Scrum Master Professional Certificate (SMPC®) - (Spanish),https://pdf.classmarker.com/pdf/certificate/?certificate_id=39876&sid=43259027&nrg_id=764677&test_id=1255440&aid=4238890&utype=SD&cert_token=1296051c18a2835b175124a1bad9ef60&tprtoken=6FKN,CertiProf,May 2020,,81589207322701
Scrum Product Owner Professional Certificate (SPOPC) - (Spanish),https://pdf.classmarker.com/pdf/certificate/?certificate_id=37233&sid=43275495&nrg_id=293836&test_id=668012&aid=4238890&utype=SD&cert_token=9c86754e6c4a58db3c0589b230186040&tprtoken=QQTT,CertiProf,May 2020,,41589235352848
Master Microsoft Excel 365 from Beginner to Advanced,https://ude.my/UC-77bfc9a8-cb6c-4ec2-9768-1d65bfff052d/,Udemy Academy,Jun 2020,,UC-77bfc9a8-cb6c-4ec2-9768-1d65bfff052d
Windows Server 2019 - Go from Zero to Hero (2020),https://ude.my/UC-696db341-d9b4-4267-97b5-dae348c96b36,Udemy Academy,Jun 2020,,UC-696db341-d9b4-4267-97b5-dae348c96b36
SAP Conceptos e iniciación,https://logaligroup.com/mod/simplecertificate/verify.php?code=5ed93b87-ffe8-40a5-ba6e-06da6c3dcfbb,Logali Group,Jun 2020,,5ed93b87-ffe8-40a5-ba6e-06da6c3dcfbb
Análisis para el Desarrollo Móvil con App Inventor,http://certificados.sena.edu.co/guardar.asp?var1=9514001135370CC1130598321C,Servicio Nacional de Aprendizaje (SENA),Mar 2016,,9514001135370CC1130598321C
Controles y Seguridad Informática,http://certificados.sena.edu.co/guardar.asp?var1=9231001134218CC1130598321C,Servicio Nacional de Aprendizaje (SENA),Mar 2016,,9231001134218CC1130598321C
Lifelong Learning,https://www.youracclaim.com/badges/fc23d9b0-51a5-416b-b021-72eed30c1bb3?source=linked_in_profile,CertiProf,Aug 2020,Aug 2022,
Amazon API Gateway for Serverless Applications,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=Et6ejQZYeEGLgWRjgMSH5w2,Amazon Web Services (AWS),Sep 2020,,Et6ejQZYeEGLgWRjgMSH5w2
Introduction to Amazon API Gateway,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=qoNiqCtkrEuj_UAwQPcEdQ2,Amazon Web Services (AWS),Sep 2020,,qoNiqCtkrEuj_UAwQPcEdQ2
Amazon Aurora MySQL - Basics,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=gLFthSGh1keP_ZSZoCpIcQ2,Amazon Web Services (AWS),Sep 2020,,gLFthSGh1keP_ZSZoCpIcQ2
Mapping a Few Core Oracle DB Concepts to Amazon RDS/Aurora PostgreSQL Concepts,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=XeTxtKhJOEyZGQWMx330yQ2,Amazon Web Services (AWS),Sep 2020,,XeTxtKhJOEyZGQWMx330yQ2
PostgreSQL Fundamentals,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=xvL56EDFr0S4TUw1MSJEbg2,Amazon Web Services (AWS),Sep 2020,,xvL56EDFr0S4TUw1MSJEbg2
PostgreSQL Fundamentals: Architecture,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=Pje2GxDTB0uth1WkR2o7Kw2,Amazon Web Services (AWS),Sep 2020,,Pje2GxDTB0uth1WkR2o7Kw2
PostgreSQL Fundamentals: Explain,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=zku9gMJ5dkizV-wE8dOo5g2,Amazon Web Services (AWS),Sep 2020,,zku9gMJ5dkizV-wE8dOo5g2
PostgreSQL Fundamentals: SQL Command Line,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=9hDr5O2UeEGvXHJp1GSgmg2,Amazon Web Services (AWS),Sep 2020,,9hDr5O2UeEGvXHJp1GSgmg2
Machine Learning Terminology and Process,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=uXg1Vup1vkGigA8LqTftLw2,Amazon Web Services (AWS),Sep 2020,,uXg1Vup1vkGigA8LqTftLw2
